,,,,,,,,,,,,,,
Dumpster,Month,Year,Date,Weight (tons),Volume (cubic yards),Plastic Bottles,Polystyrene,Cigarette Butts,Glass Bottles,Grocery Bags,Chip Bags,Sports Balls,Homes Powered*,
1,January,2017,1/2/17,1.79,15,1950,6080,19700,8,3100,15600,7,30,
2,January,2017,1/30/17,1.58,15,9540,11230,17600,14,5630,16700,0,26,
,January Total,,,3.37,30,11490,17310,37300,22,8730,32300,7.2,56,
3,February,2017,2/26/17,2.32,18,8350,9210,12000,19,6430,12400,0,39,
4,February,2017,2/26/17,3.72,15,8590,1030,13000,21,5870,11030,0,62,
5,February,2017,2/28/17,1.45,15,7830,9950,16000,18,7450,15340,0,24,
,February Total,,,7.49,48,24770,20190,41000,58,19750,38770,0,125,
6,March,2017,3/30/17,1.71,15,8210,10340,14000,23,9560,13470,0,29,
,March Total,,,1.71,15,8210,10340,14000,23,9560,13470,0,29,
7,April,2017,4/1/17,1.82,15,9830,11020,17000,26,11500,18620,0,30,
8,April,2017,4/20/17,2.37,15,9240,8760,15000,14,9970,14670,0,40,
,April Total,,,4.19,30,19070,19780,32000,40,21470,33290,0,70,
9,May,2017,5/10/17,2.64,15,9540,8810,17000,28,12340,16580,0,44,
10,May,2017,5/26/17,2.78,15,8230,7800,13000,22,13450,17220,0,46,
,May Total,,,5.42,30,17770,16610,30000,50,25790,33800,0,90,
11,June,2017,6/20/17,2.34,15,7540,8260,14000,12,10320,15430,0,39,
,June Total,,,2.34,15,7540,8260,14000,12,10320,15430,0,39,
12,July,2017,7/17/17,1.63,15,8490,8230,16000,24,8870,10400,0,27,
13,July,2017,7/17/17,2.37,15,9610,9480,19000,27,13400,15200,0,40,
14,July,2017,7/28/17,1.69,15,7960,7650,12000,17,9540,12400,0,28,
,July Total,,,5.69,45,26060,25360,47000,68,31810,38000,0,95,
15,August,2017,8/4/17,2.93,15,8870,8530,21000,32,11600,16500,0,49,
16,August,2017,8/31/17,1.21,15,7420,7280,15000,18,9710,13200,0,20,
,August Total,,,4.14,30,16290,15810,36000,50,21310,29700,0,69,
17,September,2017,9/7/17,1.47,15,8250,7860,14000,24,8940,12500,0,24.5,
,September Total,,,1.47,15,8250,7860,14000,24,8940,12500,0,24.5,
18,November,2017,11/17/17,0.75,15,8472,11528,"33,320",0,656,5392,7,12.5,
,November Total,,,0.75,15,8472,11528,"33,320",0,656,5392,7,12.5,
 lyric,January,2018,1/15/18,0.99,15,7530,9240,22400,6,940,7650,0,16.5,
,January Total,,,0.99,15,7530,9240,22400,6,940,7650,0,16.5,
20,February,2018,2/5/18,1.58,15,2340,3780,24000,4,1870,16500,0,26.3,
21,February,2018,2/21/18,1.23,15,2210,3560,21000,3,1750,16700,0,20.5,
,February Total,,,2.81,30,4550,7340,45000,7,3620,33200,0,46.8,
22,March,2018,3/30/18,2.32,15,2670,3750,26000,4,1890,20100,0,38.7,
,March Total,,,2.32,15,2670,3750,26000,4,1890,20100,0,38.7,
23,April,2018,4/13/18,1.73,6,657,1699,8380,0,631,5960,0,28.8,
24,April,2018,4/16/18,1.78,12,2290,2630,19000,3,1520,14300,0,29.7,
25,April,2018,4/20/18,1.98,15,2110,2560,18000,2,1760,16700,0,33.0,
26,April,2018,4/26/18,1.37,12,7340,9870,25000,1,980,6750,0,22.8,
,April Total,,,6.86,45,12397,16759,70380,6,4891,43710,0,114.3,
27,May,2018,5/31/18,1.85,15,9230,8950,28000,2,850,7340,0,30.8,
,May Total,,,1.85,15,9230,8950,28000,2,850,7340,0,30.8,
28,June,,6/3/18,2.84,15,1020,9230,25000,4,1120,8230,0,47.3,
29,June,,6/9/18,1.3,15,900,8560,28000,3,750,7650,0,21.7,
30,June,,6/21/18,1.81,15,1140,9900,21000,4,890,8340,0,30.2,
,June Total,,,5.95,45,3060,27690,74000,11,2760,24220,0,99.2,
31,July,,7/3/18,1.66,15,1350,8560,18000,3,950,9460,0,27.7,
32,July,,7/18/18,2.12,15,1200,7810,27000,6,790,10200,0,35.3,
33,July,,7/23/18,1.23,15,1090,8230,25000,3,910,8760,0,20.5,
34,July,,7/28/18,1.8,15,920,7340,23000,1,890,9210,0,30.0,
,July Total,,,6.81,60,4560,31940,93000,13,3540,37630,0,113.5,
,Grand Total,,,64.16,498,191919,258717,657400,396,176827,426502,14.2,1069.3,
